indicatorId,geoUnit,year,type,subtype,value
25057,AUT,2022,Data Status,Data reporting,NA
25057,AUT,2022,Source,Data sources,UIS Education Survey
25057,AUT,2023,Data Status,Data reporting,NA
25057,AUT,2023,Source,Data sources,UIS Education Survey
25057,AZE,2006,Data Status,Data reporting,NA
25057,AZE,2006,Source,Data sources,UIS Education Survey
25057,AZE,2007,Data Status,Data reporting,NA
25057,AZE,2007,Source,Data sources,UIS Education Survey
25057,AZE,2008,Data Status,Data reporting,NA
25057,AZE,2008,Source,Data sources,UIS Education Survey
25057,AZE,2009,Data Status,Data reporting,NA
25057,AZE,2009,Source,Data sources,UIS Education Survey
25057,AZE,2010,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AZE,2011,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AZE,2012,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AZE,2013,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AZE,2014,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AZE,2015,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AZE,2016,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AZE,2017,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AZE,2018,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AZE,2019,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AZE,2020,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AZE,2021,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AZE,2022,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AZE,2023,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AZE,2024,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,BDI,2000,Data Status,Data reporting,NA
25057,BDI,2000,Source,Data sources,UIS Education Survey
25057,BDI,2001,Data Status,Data reporting,NA
25057,BDI,2001,Source,Data sources,UIS Education Survey
25057,BDI,2002,Data Status,Data reporting,NA
25057,BDI,2002,Source,Data sources,UIS Education Survey
25057,BDI,2004,Data Status,Data reporting,NA
25057,BDI,2004,Source,Data sources,UIS Education Survey
25057,BDI,2005,Data Status,Data reporting,NA
25057,BDI,2005,Source,Data sources,UIS Education Survey
25057,BDI,2006,Data Status,Data reporting,NA
25057,BDI,2006,Source,Data sources,UIS Education Survey
25057,BDI,2010,Source,Data sources,Source: UIS Dynamic Template based on
25057,BDI,2012,Source,Data sources,Source: UIS Dynamic Template based on
25057,BDI,2013,Source,Data sources,Source: UIS Dynamic Template based on
25057,BDI,2014,Source,Data sources,Source: UIS Dynamic Template based on
25057,BDI,2015,Source,Data sources,Source: UIS Dynamic Template based on
25057,BDI,2016,Source,Data sources,Source: UIS Dynamic Template based on
25057,BDI,2017,Source,Data sources,Source: UIS Dynamic Template based on
25057,BDI,2018,Source,Data sources,Source: UIS Dynamic Template based on
25057,BDI,2023,Source,Data sources,Source: UIS Dynamic Template based on
25057,BEL,2000,Data Status,Data reporting,NA
25057,BEL,2000,Source,Data sources,UIS Education Survey
25057,BEL,2001,Data Status,Data reporting,NA
25057,BEL,2001,Source,Data sources,UIS Education Survey
25057,BEL,2002,Data Status,Data reporting,NA
25057,BEL,2002,Source,Data sources,UIS Education Survey
25057,BEL,2003,Data Status,Data reporting,NA
25057,BEL,2003,Source,Data sources,UIS Education Survey
25057,BEL,2004,Data Status,Data reporting,NA
25057,BEL,2004,Source,Data sources,UIS Education Survey
25057,BEL,2005,Data Status,Data reporting,NA
25057,BEL,2005,Source,Data sources,UIS Education Survey
25057,BEL,2006,Data Status,Data reporting,NA
25057,BEL,2006,Source,Data sources,UIS Education Survey
25057,BEL,2007,Data Status,Data reporting,NA
25057,BEL,2007,Source,Data sources,UIS Education Survey
25057,BEL,2008,Data Status,Data reporting,NA
25057,BEL,2008,Source,Data sources,UIS Education Survey
25057,BEL,2009,Data Status,Data reporting,NA
25057,BEL,2009,Source,Data sources,UIS Education Survey
25057,BEL,2010,Data Status,Data reporting,NA
25057,BEL,2010,Source,Data sources,UIS Education Survey
25057,BEL,2011,Data Status,Data reporting,NA
25057,BEL,2011,Source,Data sources,UIS Education Survey
25057,BEL,2012,Data Status,Data reporting,NA
25057,BEL,2012,Source,Data sources,UIS Education Survey
25057,BEL,2013,Data Status,Data reporting,NA
25057,BEL,2013,Source,Data sources,UIS Education Survey
25057,BEL,2014,Data Status,Data reporting,NA
25057,BEL,2014,Source,Data sources,UIS Education Survey
25057,BEL,2015,Data Status,Data reporting,NA
25057,BEL,2015,Source,Data sources,UIS Education Survey
25057,BEL,2016,Data Status,Data reporting,NA
25057,BEL,2016,Source,Data sources,UIS Education Survey
25057,BEL,2017,Data Status,Data reporting,NA
25057,BEL,2017,Source,Data sources,UIS Education Survey
25057,BEL,2018,Data Status,Data reporting,NA
25057,BEL,2018,Source,Data sources,UIS Education Survey
25057,BEL,2019,Data Status,Data reporting,NA
25057,BEL,2019,Source,Data sources,UIS Education Survey
25057,BEL,2020,Data Status,Data reporting,NA
25057,BEL,2020,Source,Data sources,UIS Education Survey
25057,BEL,2021,Data Status,Data reporting,NA
25057,BEL,2021,Source,Data sources,UIS Education Survey
25057,BEL,2022,Data Status,Data reporting,NA
25057,BEL,2022,Source,Data sources,UIS Education Survey
25057,BEL,2023,Source,Data sources,UIS Education Survey
25057,BEN,2000,Data Status,Data reporting,NA
25057,BEN,2000,Source,Data sources,UIS Education Survey
25057,BEN,2001,Data Status,Data reporting,NA
25057,BEN,2001,Source,Data sources,UIS Education Survey
25057,BEN,2006,Data Status,Data reporting,NA
25057,BEN,2006,Source,Data sources,UIS Education Survey
25057,BEN,2007,Data Status,Data reporting,NA
25057,BEN,2007,Source,Data sources,UIS Education Survey
25057,BEN,2008,Data Status,Data reporting,NA
25057,BEN,2008,Source,Data sources,UIS Education Survey
25057,BEN,2009,Data Status,Data reporting,NA
25057,BEN,2009,Source,Data sources,UIS Education Survey
25057,BEN,2010,Data Status,Data reporting,NA
25057,BEN,2010,Source,Data sources,UIS Education Survey
25057,BEN,2011,Data Status,Data reporting,NA
25057,BEN,2011,Source,Data sources,UIS Education Survey
25057,BEN,2012,Data Status,Data reporting,NA
25057,BEN,2012,Source,Data sources,UIS Education Survey
25057,BEN,2013,Data Status,Data reporting,NA
25057,BEN,2013,Source,Data sources,UIS Education Survey
25057,BEN,2014,Data Status,Data reporting,NA
25057,BEN,2014,Source,Data sources,UIS Education Survey
25057,BEN,2015,Data Status,Data reporting,NA
25057,BEN,2015,Source,Data sources,UIS Education Survey
25057,BEN,2016,Data Status,Data reporting,NA
25057,BEN,2016,Source,Data sources,UIS Education Survey
25057,BEN,2017,Data Status,Data reporting,NA
25057,BEN,2017,Source,Data sources,UIS Education Survey
25057,BEN,2018,Data Status,Data reporting,NA
25057,BEN,2018,Source,Data sources,UIS Education Survey
25057,BEN,2019,Data Status,Data reporting,NA
25057,BEN,2019,Source,Data sources,UIS Education Survey
