indicatorId,geoUnit,year,type,subtype,value
20063,AND,2017,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,AND,2018,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,AND,2019,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,AND,2020,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,AND,2021,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,AND,2022,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,AND,2023,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,AND,2024,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,ARE,2000,Data Status,Data reporting,NA
20063,ARE,2000,Source,Data sources,UIS Education Survey
20063,ARE,2001,Data Status,Data reporting,NA
20063,ARE,2001,Source,Data sources,UIS Education Survey
20063,ARE,2002,Data Status,Data reporting,NA
20063,ARE,2002,Source,Data sources,UIS Education Survey
20063,ARE,2003,Data Status,Data reporting,NA
20063,ARE,2003,Source,Data sources,UIS Education Survey
20063,ARE,2004,Data Status,Data reporting,NA
20063,ARE,2004,Source,Data sources,UIS Education Survey
20063,ARE,2005,Data Status,Data reporting,NA
20063,ARE,2005,Source,Data sources,UIS Education Survey
20063,ARE,2006,Data Status,Data reporting,NA
20063,ARE,2006,Source,Data sources,UIS Education Survey
20063,ARE,2018,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,ARE,2019,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,ARE,2020,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,ARE,2021,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,ARE,2022,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,ARE,2023,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,ARE,2024,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,ARG,2000,Data Status,Data reporting,NA
20063,ARG,2000,Source,Data sources,UIS Education Survey
20063,ARG,2001,Data Status,Data reporting,NA
20063,ARG,2001,Source,Data sources,UIS Education Survey
20063,ARG,2002,Data Status,Data reporting,NA
20063,ARG,2002,Source,Data sources,UIS Education Survey
20063,ARG,2003,Data Status,Data reporting,NA
20063,ARG,2003,Source,Data sources,UIS Education Survey
20063,ARG,2004,Data Status,Data reporting,NA
20063,ARG,2004,Source,Data sources,UIS Education Survey
20063,ARG,2005,Data Status,Data reporting,NA
20063,ARG,2005,Source,Data sources,UIS Education Survey
20063,ARG,2006,Data Status,Data reporting,NA
20063,ARG,2006,Source,Data sources,UIS Education Survey
20063,ARG,2007,Data Status,Data reporting,NA
20063,ARG,2007,Source,Data sources,UIS Education Survey
20063,ARG,2008,Data Status,Data reporting,NA
20063,ARG,2008,Source,Data sources,UIS Education Survey
20063,ARG,2009,Data Status,Data reporting,NA
20063,ARG,2009,Source,Data sources,UIS Education Survey
20063,ARG,2010,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
