indicatorId,geoUnit,year,type,subtype,value
GER.1.F,ALB,2006,Source,Data sources,UIS Education Survey
GER.1.F,ALB,2007,Data Status,Data reporting,"POPULATION DATA: Eurostat, Population and Demography Database"
GER.1.F,ALB,2007,Source,Data sources,UIS Education Survey
GER.1.F,ALB,2008,Data Status,Data reporting,"POPULATION DATA: Eurostat, Population and Demography Database"
GER.1.F,ALB,2008,Source,Data sources,UIS Education Survey
GER.1.F,ALB,2009,Data Status,Data reporting,"POPULATION DATA: Eurostat, Population and Demography Database"
GER.1.F,ALB,2009,Source,Data sources,UIS Education Survey
GER.1.F,ALB,2010,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ALB,2011,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ALB,2012,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ALB,2013,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ALB,2014,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ALB,2015,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ALB,2016,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ALB,2017,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ALB,2018,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ALB,2019,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ALB,2020,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ALB,2021,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ALB,2022,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ALB,2023,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ALB,2024,Source,Data sources,UIS Education Survey
GER.1.F,AND,2002,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AND,2002,Source,Data sources,UIS Education Survey
GER.1.F,AND,2003,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AND,2003,Source,Data sources,UIS Education Survey
GER.1.F,AND,2004,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AND,2004,Source,Data sources,UIS Education Survey
GER.1.F,AND,2005,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AND,2005,Source,Data sources,UIS Education Survey
GER.1.F,AND,2006,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AND,2006,Source,Data sources,UIS Education Survey
GER.1.F,AND,2007,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AND,2007,Source,Data sources,UIS Education Survey
GER.1.F,AND,2008,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AND,2008,Source,Data sources,UIS Education Survey
GER.1.F,AND,2009,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AND,2009,Source,Data sources,UIS Education Survey
GER.1.F,AND,2010,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AND,2010,Source,Data sources,UIS Education Survey
GER.1.F,AND,2011,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AND,2011,Source,Data sources,UIS Education Survey
GER.1.F,AND,2012,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AND,2012,Source,Data sources,UIS Education Survey
GER.1.F,AND,2013,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AND,2013,Source,Data sources,UIS Education Survey
GER.1.F,AND,2014,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,AND,2015,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,AND,2016,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,AND,2017,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,AND,2018,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,AND,2019,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,AND,2020,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,AND,2021,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,AND,2022,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,AND,2023,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,AND,2024,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ARE,2001,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,ARE,2001,Source,Data sources,UIS Education Survey
GER.1.F,ARE,2002,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,ARE,2002,Source,Data sources,UIS Education Survey
GER.1.F,ARE,2003,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,ARE,2003,Source,Data sources,UIS Education Survey
GER.1.F,ARE,2004,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,ARE,2004,Source,Data sources,UIS Education Survey
GER.1.F,ARE,2005,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,ARE,2005,Source,Data sources,UIS Education Survey
GER.1.F,ARE,2006,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,ARE,2006,Source,Data sources,UIS Education Survey
GER.1.F,ARE,2018,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ARE,2019,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ARE,2020,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ARE,2021,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ARE,2022,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ARE,2023,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ARE,2024,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ARG,2000,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARG,2000,Source,Data sources,UIS Education Survey
GER.1.F,ARG,2001,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARG,2001,Source,Data sources,UIS Education Survey
GER.1.F,ARG,2002,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARG,2002,Source,Data sources,UIS Education Survey
GER.1.F,ARG,2003,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARG,2003,Source,Data sources,UIS Education Survey
GER.1.F,ARG,2004,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARG,2004,Source,Data sources,UIS Education Survey
GER.1.F,ARG,2005,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARG,2005,Source,Data sources,UIS Education Survey
GER.1.F,ARG,2006,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARG,2006,Source,Data sources,UIS Education Survey
GER.1.F,ARG,2007,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARG,2007,Source,Data sources,UIS Education Survey
GER.1.F,ARG,2008,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARG,2008,Source,Data sources,UIS Education Survey
GER.1.F,ARG,2009,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARG,2009,Source,Data sources,UIS Education Survey
GER.1.F,ARG,2010,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARG,2010,Source,Data sources,UIS Education Survey
GER.1.F,ARG,2011,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARG,2011,Source,Data sources,UIS Education Survey
GER.1.F,ARG,2012,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARG,2012,Source,Data sources,UIS Education Survey
GER.1.F,ARG,2013,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARG,2013,Source,Data sources,UIS Education Survey
GER.1.F,ARG,2014,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARG,2014,Source,Data sources,UIS Education Survey
GER.1.F,ARG,2015,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARG,2015,Source,Data sources,UIS Education Survey
GER.1.F,ARG,2016,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARG,2016,Source,Data sources,UIS Education Survey
GER.1.F,ARG,2017,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARG,2017,Source,Data sources,UIS Education Survey
GER.1.F,ARG,2018,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARG,2018,Source,Data sources,UIS Education Survey
